source,pdf,pages,chars,tables,avg_table_rows,chars_per_page,tables_per_page,repeat_ratio,flags,txt_rel,tbl_rel
alerts,12739_State_NSQ_Alert_For_The_Month_April-2025.pdf,22,47405,20,7.3,2154.8,0.91,0.165,,alerts\12739_State_NSQ_Alert_For_The_Month_April-2025.txt,alerts\12739_State_NSQ_Alert_For_The_Month_April-2025.tables.json
alerts,12740_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_for_the_Month_of_April-2025.pdf,1,1965,0,0.0,1965.0,0.0,0.0,,alerts\12740_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_for_the_Month_of_April-2025.txt,alerts\12740_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_for_the_Month_of_April-2025.tables.json
alerts,12845_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_for_the_Month_of_May-2025.pdf,2,2333,1,3.0,1166.5,0.5,0.205,,alerts\12845_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_for_the_Month_of_May-2025.txt,alerts\12845_List_of_Drugs_Medical_Devices_Vaccine_and_Cosmetics_declared_as_Spurious_for_the_Month_of_May-2025.tables.json
alerts,12846_STATE_NSQ_ALERT_FOR_THE_MONTH_OF_MAY-2025.pdf,19,42349,18,7.72,2228.9,0.95,0.033,,alerts\12846_STATE_NSQ_ALERT_FOR_THE_MONTH_OF_MAY-2025.txt,alerts\12846_STATE_NSQ_ALERT_FOR_THE_MONTH_OF_MAY-2025.tables.json
alerts,12847_NSQ_ALERT_FOR_THE_MONTH_OF_MAY-2025.pdf,7,14818,7,8.71,2116.9,1.0,0.075,,alerts\12847_NSQ_ALERT_FOR_THE_MONTH_OF_MAY-2025.txt,alerts\12847_NSQ_ALERT_FOR_THE_MONTH_OF_MAY-2025.tables.json
alerts,12926_STATE_NSQ_ALERT_FOR_THE_MONTH_OF_June_2025.pdf,15,35479,14,9.86,2365.3,0.93,0.115,,alerts\12926_STATE_NSQ_ALERT_FOR_THE_MONTH_OF_June_2025.txt,alerts\12926_STATE_NSQ_ALERT_FOR_THE_MONTH_OF_June_2025.tables.json
alerts,12927_CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_June_2025.pdf,6,13196,6,9.67,2199.3,1.0,0.074,,alerts\12927_CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_June_2025.txt,alerts\12927_CDSCO_NSQ_ALERT_FOR_THE_MONTH_OF_June_2025.tables.json
alerts,12959_List_of_spurious_Drugs_for_the_month_of_June-2025.pdf,2,3254,1,13.0,1627.0,0.5,0.288,,alerts\12959_List_of_spurious_Drugs_for_the_month_of_June-2025.txt,alerts\12959_List_of_spurious_Drugs_for_the_month_of_June-2025.tables.json
alerts,12960_Revise_list_drug_alert_May-2025.pdf,1,817,0,0.0,817.0,0.0,0.0,,alerts\12960_Revise_list_drug_alert_May-2025.txt,alerts\12960_Revise_list_drug_alert_May-2025.tables.json
alerts,1666_Drug_Alert_for_the_month_of_April2018.pdf,1,1758,1,5.0,1758.0,1.0,0.143,,alerts\1666_Drug_Alert_for_the_month_of_April2018.txt,alerts\1666_Drug_Alert_for_the_month_of_April2018.tables.json
